y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janiculan 1,Janiculan 1,Janiculan 1,Road,Casa,Casa,Casa,Shrine 3,Garden,Desconhecido 21,Casa,Road,Lead Works,Lead Works,Lead Works,,,,,,Road,Road,Road,Road,Road,Road,Casa,Casa,Casa,Plaza,Basilica,Basilica,Basilica,,,,,Wall N-S?,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janiculan 1,Janiculan 1,Janiculan 1,Road,Casa,Desconhecido 23,Casa,Fountain 1,Casa,Casa,Casa,Road,Lead Works,Lead Works,Lead Works,,,Rio,Rio,Rio,Rio,Rio,,Rio,Grammaticus,Grammaticus,Casa,Casa,Casa,Plaza 1,Basilica,Basilica,Basilica,,,,,Wall N-S?,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winery,Winery,Winery,Road,Casa,Casa,Casa,Baths,Baths,Casa,Casa,Road,Lead Works,Lead Works,Lead Works,,Rio,Rio,,,,Rio,Rio,Rio,Grammaticus,Grammaticus,Casa,Casa,Casa,Plaza,Basilica,Basilica,Basilica,,,,,Wall N-S?,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winery,Winery,Winery,Road,Casa,Casa,Casa,Baths,Baths,Casa,Casa,Road,Lead Works,Lead Works,Lead Works,Rio,Rio,,,,,,,Rhetor,Rhetor,Rhetor,Casa,Casa,Casa,Plaza 1,Colosseum,Colosseum,Colosseum,,,,,Wall N-S?,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winery,Winery,Winery,Road,Casa,Casa,Casa,Desconhecido 29,Casa,Casa,Casa,Road,Lead Works,Lead Works,Lead Works,Rio,,,,,,,,Rhetor,Rhetor,Rhetor,Casa,Casa,Casa,Plaza est,Colosseum,Colosseum,Colosseum,,,,,Wall N-S?,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winery,Winery,Winery,Road,Casa,Casa,Casa,Shrine 3,Casa,Casa,Casa,Road,Lead Works,Lead Works,Lead Works,Rio,Rio,,,,,,,Rhetor,Rhetor,Rhetor,Casa,Casa,Casa,Plaza 1,Colosseum,Colosseum,Colosseum,,,,,Wall N-S?,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Market 3,Market 3,Road,Winery,Winery,Winery,Road,Casa,Reservatorio,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Reservatorio,Rio,Rio,,Road,Road,Road,Road,,Road,Road,Casa,Casa,Casa,Plaza est,Road,Road,Road,Road,,,,Wall N-S?,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Market 3,Market 3,Road,Winery,Winery,Winery,Road,Casa,Casa,Casa,Shrine 3,Desconhecido 33,Desconhecido 33,Praefecture,Road,Grammaticus,Grammaticus,,,,Rio,Rio,Praefecture,,,Odeum,Odeum,Grammaticus,Grammaticus,Casa,Casa,Casa,Plaza 1,Basilica,Basilica,Basilica,Praefecture,,,,Wall N-S?,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead Works,Lead Works,Lead Works,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Grammaticus,Grammaticus,,,,,Rio,Rio,,,Odeum,Odeum,Grammaticus,Grammaticus,Casa,Casa,Casa,Plaza est,Basilica,Basilica,Basilica,,,,,Wall N-S?,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead Works,Lead Works,Lead Works,Road,Casa,Casa,Casa,Casa,Casa,Casa,Odeum,Odeum,Garden,Baths,Baths,Garden,Garden,,,,Market 4,Market 4,,Rio,Reservatorio,Garden,Garden,Garden,Baths 4,Baths 4,Casa,Casa,Casa,Plaza 1,Basilica,Basilica,Basilica,,,,,Wall N-S?,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead Works,Lead Works,Lead Works,Road,Baths 1,Baths 1,Casa,Casa,Casa,Casa,Odeum,Odeum,Fountain 2,Baths,Baths,Casa,Casa,Casa,Road,,Market 4,Market 4,Road,Rio,Rio,Garden,Garden,Fountain 4,Baths 4,Baths 4,Casa,Casa,Casa,Plaza est,Palatine,Palatine,Palatine,Palatine,,,,Wall N-S?,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barracks,Barracks,Barracks,Road,Baths 1,Baths 1,Fountain 2,Desconhecido 59,Desconhecido 59,Desconhecido 59,Casa,Casa,Casa,Casa,Casa,Casa,Desconhecido 60,Casa,Road,Janiculan 1,Janiculan 1,Janiculan 1,Road,Shrine 3,Rio,Rio,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Plaza 1,Palatine,Palatine,Palatine,Palatine,Barracks,Barracks,Barracks,Wall N-S?,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barracks,Barracks,Barracks,Road,Casa,Garden,Casa,Casa,Casa,Desconhecido 59,Casa,Casa,Desconhecido 65,Garden,Casa,Desconhecido 60,Desconhecido 60,Casa,Road,Janiculan 1,Janiculan 1,Janiculan 1,Road,Shrine 3,Shrine 4,Rio,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Plaza est,Palatine,Palatine,Palatine,Palatine,Barracks,Barracks,Barracks,Wall N-S?,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barracks,Barracks,Barracks,Road,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Road,Janiculan 1,Janiculan 1,Janiculan 1,Road,Shrine 4,Rio,Rio,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Plaza 1,Palatine,Palatine,Palatine,Palatine,Barracks,Barracks,Barracks,Wall N-S?,Praefecture
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grammaticus,Grammaticus,Plaza,Plaza 1,Plaza,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Plaza 1,Plaza est,Plaza 1,Plaza est,Plaza 1,Plaza est,Plaza 1,Plaza est,Road,Road,Road,Road,Road,Road,Road,Gate,Road
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grammaticus,Grammaticus,Plaza 1,Janiculan 2,Janiculan 2,Janiculan 2,Market 4,Market 4,Factory,Factory,Factory,Factory,Factory,Factory,Factory,Factory,Factory,Market 4,Market 4,Praefecture,Desconhecido 76,Shrine 3,Shrine 4,Rio,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Plaza 1,C.Maximus,C.Maximus,C.Maximus,C.Maximus,Road,Market 2,Market 2,Wall N-S?,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janiculan 2,Janiculan 2,Janiculan 2,Market 4,Market 4,Factory,Factory,Factory,Factory,Factory,Factory,Factory,Factory,Factory,Market 4,Market 4,,,Rio,Rio,Rio,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Plaza est,C.Maximus,C.Maximus,C.Maximus,C.Maximus,Road,Market 2,Market 2,Wall N-S?,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janiculan 2,Janiculan 2,Janiculan 2,,,Factory,Factory,Factory,Factory,Factory,Factory,Factory,Factory,Factory,,,,Rio,Rio,,,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Plaza 1,C.Maximus,C.Maximus,C.Maximus,C.Maximus,,,,Wall N-S?,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,,,Odeum,Odeum,Grammaticus,Grammaticus,Baths 4,Baths 4,Casa,Casa,Casa,Plaza est,C.Maximus,C.Maximus,C.Maximus,C.Maximus,,,,Wall N-S?,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,Reservatorio,,,Odeum,Odeum,Grammaticus,Grammaticus,Baths 4,Baths 4,Casa,Casa,Casa,Plaza 1,C.Maximus,C.Maximus,C.Maximus,C.Maximus,,,,Wall N-S?,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,Rio,,,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Reservatorio,,Fountain 4,Casa,Casa,Casa,Plaza est,C.Maximus,C.Maximus,C.Maximus,C.Maximus,,,,Wall N-S?,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,Road,Colosseum,Colosseum,Colosseum,Casa,Casa,Casa,Plaza 1,C.Maximus,C.Maximus,C.Maximus,C.Maximus,,,,Wall N-S?,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,Road,Colosseum,Colosseum,Colosseum,Casa,Casa,Casa,Plaza est,C.Maximus,C.Maximus,C.Maximus,C.Maximus,,,,Wall N-S?,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,Rio,,,Road,Road,Road,Road,Road,Road,Colosseum,Colosseum,Colosseum,Casa,Casa,Casa,Plaza 1,Rhetor,Rhetor,Rhetor,,,,,Wall N-S?,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barracks,Barracks,Barracks,Factory,Factory,Factory,Janiculan 1,Janiculan 1,Janiculan 1,Factory,Factory,Factory,Colosseum,Colosseum,Colosseum,,,Rio,Rio,,Praefecture,,,,Desconhecido 90,Road,Casa,Casa,Casa,Casa,Casa,Casa,Plaza est,Rhetor,Rhetor,Rhetor,,,,,Wall N-S?,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barracks,Barracks,Barracks,Factory,Factory,Factory,Janiculan 1,Janiculan 1,Janiculan 1,Factory,Factory,Factory,Colosseum,Colosseum,Colosseum,,Market 4,Market 4,Rio,,,,,Desconhecido 92,Desconhecido 92,Road,Casa,Casa,Casa,Casa,Casa,Casa,Plaza 1,Rhetor,Rhetor,Rhetor,,,,,Wall N-S?,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barracks,Barracks,Barracks,Factory,Factory,Factory,Janiculan 1,Janiculan 1,Janiculan 1,Factory,Factory,Factory,Colosseum,Colosseum,Colosseum,Desconhecido 93,Market 4,Market 4,Rio,,,,,Desconhecido 92,Desconhecido 92,Road,Casa,Casa,Casa,Casa,Casa,Casa,Plaza est,Shrine 4,Shrine 3,Shrine 3,,,,,Wall N-S?,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Plaza 1,Rio,Rio,,,,Grammaticus,Grammaticus,Road,Casa,Casa,Casa,Casa,Casa,Casa,Plaza 1,Janiculan 4,Janiculan 4,Janiculan 4,,,,,Wall N-S?,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desconhecido 98,Desconhecido 98,Desconhecido 98,Plaza,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Garden,Rio,Rio,Rio,,Grammaticus,Grammaticus,Road,Casa,Casa,Casa,Casa,Casa,Casa,Plaza est,Janiculan 4,Janiculan 4,Janiculan 4,Market 2,Market 2,Market 2,Market 2,Wall N-S?,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desconhecido 98,Desconhecido 98,Desconhecido 98,Plaza 1,Casa,Casa,Casa,Desconhecido 101,Casa,Casa,Casa,Baths,Baths,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Baths,Baths,,Rio,,Temple,Temple,Road,Casa,Casa,Fountain 4,Casa,Casa,Casa,Plaza 1,Janiculan 4,Janiculan 4,Janiculan 4,Market 2,Market 2,Market 2,Market 2,Wall N-S?,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desconhecido 98,Desconhecido 98,Desconhecido 98,Plaza,Casa,Casa,Casa,Fountain 2,Casa,Garden,Casa,Baths,Baths,Casa,Casa,Fountain 2,Casa,Casa,Desconhecido 108,Casa,Casa,Baths,Baths,Rio,Rio,,Temple,Temple,Road,Casa,Baths 4,Baths 4,Casa,Casa,Casa,Plaza est,Road,Road,Road,Road,Road,Road,Road,Gate,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desconhecido 110,Desconhecido 110,Desconhecido 110,Plaza 1,Casa,Casa,Casa,Garden,Grammaticus,Grammaticus,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Rio,Rio,Market 2,Market 2,Road,Road,Road,Road,Baths 4,Baths 4,Casa,Casa,Casa,Plaza 1,Basilica 4,Basilica 4,Basilica 4,Grammaticus,Grammaticus,Praefecture,Praefecture,Wall N-S?,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desconhecido 110,Desconhecido 110,Desconhecido 110,Plaza,Casa,Casa,Casa,Garden,Grammaticus,Grammaticus,Reservatorio,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Aqueduto,Reservatorio,Rio,,Market 2,Market 2,Desconhecido 128,Road,Desconhecido 129,Reservatorio,Odeum,Odeum,Garden,Casa,Casa,Plaza est,Basilica 4,Basilica 4,Basilica 4,Grammaticus,Grammaticus,,,Wall N-S?,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desconhecido 110,Desconhecido 110,Desconhecido 110,Plaza 1,Garden,Casa,Garden,Casa,Baths,Baths,Casa,Casa,Casa,Garden,Casa,Casa,Casa,Casa,Casa,Baths,Baths,,Rio,Rio,Rio,,Rio,Road,Rio,Rio,Odeum,Odeum,Casa,Casa,Casa,Plaza 1,Basilica 4,Basilica 4,Basilica 4,,,,,Wall N-S?,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaza,Casa,Casa,Garden,Casa,Baths,Baths,Desconhecido 138,Casa,Casa,Garden,Casa,Casa,Desconhecido 139,Desconhecido 139,Casa,Baths,Baths,Desconhecido 140,Desconhecido 140,,Rio,Rio,Rio,Road,,Rio,Rio,Garden,Casa,Garden,Casa,Plaza est,Road,Road,Road,,,,,Wall N-S?,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaza 1,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Casa,Garden,Casa,Casa,Casa,Casa,Casa,Garden,,Desconhecido 140,Desconhecido 140,,,,Praefecture,Road,,,Rio,Garden,Casa,Casa,Casa,Plaza 1,Grammaticus,Grammaticus,Road,,,,,Wall N-S?,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaza 1,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,,Market 2,Market 2,Road,,,Rio,Garden,Rio,Rio,Rio,Rio,Grammaticus,Grammaticus,Road,Praefecture,,,,Wall N-S?,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Factory,Factory,Factory,Market 4,Market 4,Factory,Factory,Factory,Market 3,Market 3,Lead Works,Lead Works,Lead Works,Market 2,Market 2,Factory,Factory,Factory,Factory,Factory,Factory,Praefecture,,Market 2,Market 2,Road,,,Rio,Rio,Rio,,,Rio,,,,,,,,Wall N-S?,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Factory,Factory,Factory,Market 4,Market 4,Factory,Factory,Factory,Market 3,Market 3,Lead Works,Lead Works,Lead Works,Market 2,Market 2,Factory,Factory,Factory,Factory,Factory,Factory,,,,,,,,,,,,,Rio,Rio,Rio,,,,,,Wall N-S?,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Factory,Factory,Factory,,,Factory,Factory,Factory,,,Lead Works,Lead Works,Lead Works,,,Factory,Factory,Factory,Factory,Factory,Factory,,,,,,,,,,,,,,,Rio,,,,,,Wall N-S?,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,Wall N-S?,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,,,Rio,Rio,,,,,,Wall N-S?,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,Rio,Rio,Rio,Rio,Tower,Wall,Wall,Wall,Wall,Wall,Tower,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,Rio,Rio,Rio,Rio,Rio,Rio,Rio,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,Rio,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,Rio,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,,,,,,Rio,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,,Rio,Rio,Rio,Rio,Rio,Rio,Rio,,,,,,,,,,,,,,,,,,
62,,,,,Hospital,Hospital,Hospital,Road,Hospital,Hospital,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Aventine,Aventine,,Hospital,Hospital,Hospital,Road,Hospital,Hospital,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Aventine,Aventine,Praefecture,Hospital,Hospital,Hospital,Road,Hospital,Hospital,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,,Rio,Rio,Rio,Rio,Rio,,,,,,,,,,,,,,,,,,,,,,
65,,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,,,,Rio,Rio,,,,,,,,,,,,,,,,,,,,,
66,,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Road,Library,Library,Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,,,,,,,,,,,
67,,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Road,Library,Library,Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,,,,,,,,,,,
68,,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Road,Library,Library,Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,,,,,,,,,,,,,,,,,,,,,
69,,,,,Library,Library,Library,Road,Hospital,Hospital,Hospital,,,,Library,Library,Library,Library,Library,Library,Road,Barracks,Barracks,Barracks,Janiculan 2,Janiculan 2,Janiculan 2,Road,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,,,,Rio,,,,,,,,,,,,,,,,,,,,,,
70,,,Aventine,Aventine,Library,Library,Library,Road,Hospital,Hospital,Hospital,,Desconhecido 171,Desconhecido 171,Library,Library,Library,Library,Library,Library,Road,Barracks,Barracks,Barracks,Janiculan 2,Janiculan 2,Janiculan 2,Road,,,,,,,,,,,,,,,,,,,,,,,,Rio,,Rio,Rio,Rio,Rio,Rio,,,,,,,,,,,,,,,,,,,,,,
71,,,Aventine,Aventine,Library,Library,Library,Road,Hospital,Hospital,Hospital,Praefecture,Desconhecido 171,Desconhecido 171,Library,Library,Library,Library,Library,Library,Road,Barracks,Barracks,Barracks,Janiculan 2,Janiculan 2,Janiculan 2,Road,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,Rio,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Hospital,Hospital,Hospital,Library,Library,Library,Road,Library,Library,Library,Library,Library,Library,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Road,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Library,Library,Library,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,,,,,,,,,,,,,,,,,,,,,,,,
74,,Hospital,Hospital,Hospital,Library,Library,Library,Road,Library,Library,Library,Library,Library,Library,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Road,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Library,Library,Library,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,Rio,,,,,,,,,,,,,,,,,,,,,,
75,,Hospital,Hospital,Hospital,Library,Library,Library,Road,Library,Library,Library,Library,Library,Library,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Road,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Library,Library,Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,,,,,,,,,,,,,,,,,,,,,
76,,,,,Hospital,Hospital,Hospital,Road,Aventine,Aventine,Hospital,Hospital,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,,,,,,,,,,,
77,,,,,Hospital,Hospital,Hospital,Road,Aventine,Aventine,Hospital,Hospital,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,,,,,,,,,,,,,,,,,,,,,
78,,,,,Hospital,Hospital,Hospital,Road,Praefecture,,Hospital,Hospital,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio,Rio,,,,,,,,,,,,,,,,,,,,
